,Region,Average_R2
229,2_235134906_236540389,-0.6071446279719905
230,2_236540389_237852338,-1.0077007782449172
231,2_237852338_239030947,-1.7059221022611637
232,2_239030947_240620667,-7.79932280086999
233,2_240620667_241210506,-1.022693455671257
234,2_241210506_242147200,-1.0987191729292145
235,3_4389963_6041496,-1522.1942285613593
236,3_6041496_7041700,-1.1957330512172462
237,3_7041700_8606875,-18.40856285287878
238,3_8606875_9501499,-1.9837990412915545
239,3_9501499_10977979,-5.117528397475169
240,3_10977979_13029299,-7.191198402066371
241,3_13029299_14775393,-32.316675938937166
242,3_14775393_16240935,-5.6357678121541905
243,3_16240935_17849626,-9.3366173787875
244,3_17849626_19083652,-0.6160845889325802
245,3_19083652_20049856,-0.6032446603841571
246,3_21602215_22162752,-3.0250375628578086
247,3_22162752_23763374,-9.299636470059099
248,3_23763374_25420067,-6.75013190446524
249,3_25420067_26836278,-2.779188446335006
250,3_26836278_27799419,-0.27197919399500553
251,3_27799419_29100769,-8.449306076173844
252,3_29100769_30676463,-6.7026840090809205
253,3_30676463_32310223,-5.579965362135343
254,3_32310223_33214100,-1.0683231307292806
255,3_33214100_35241966,-0.280574169992208
256,3_35241966_36445350,-0.6599908599109326
257,3_36445350_38314625,-3.5751721621160693
258,3_38314625_40179807,-3.391301234667556
259,3_40179807_41023037,-0.34761441105279683
260,3_41023037_42498510,-2.8069129368627754
261,3_42498510_45123661,-4.0874154668696026
262,3_45123661_46616010,-1.8290828446530658
263,3_46616010_47685722,-0.38745947683872645
264,3_47685722_49279539,-0.5181215770680719
265,3_49279539_51797999,-1.563130734535709
266,3_51797999_54047363,-2.0995818589525106
267,3_54047363_55314832,-0.9368692056352532
268,3_55314832_56399879,-0.565017078472059
269,3_56399879_58171792,-193.89688135325852
270,3_62369991_63683610,-3.097544392393097
271,3_63683610_65287863,-0.6596410301300797
272,3_65287863_66220021,-1.037012680382332
273,3_66220021_68237764,-2.0833293255245846
274,3_68237764_69227611,-0.447331632180947
275,3_69227611_70399877,-0.6599534576936898
276,3_70399877_72480178,-3.4200570440571925
277,3_72480178_74272666,-3.5183255671881435
278,3_74272666_75655798,-0.1333734360193925
279,3_78975391_81378159,-0.41210335516525537
280,3_81378159_82594735,-0.07132099899493279
281,3_84318328_85533081,-0.6583521299252695
282,3_85533081_87360582,-2.672727325374427
283,3_87360582_88249223,-0.09362105602174915
284,3_88249223_94536472,-23.73671071977951
285,3_95593127_98497106,-0.5216097001322889
286,3_98497106_99654918,-1.6966118148983131
287,3_99654918_100873373,-0.8289250083493303
288,3_100873373_103366116,-6.569152171940225
289,3_104862769_107263964,-0.3536688747820911
290,3_107263964_109803548,-1.953820022414718
291,3_110794923_113096852,-3.91742377312665
292,3_113096852_114229016,-0.48776543116219406
293,3_114229016_115728233,-0.8976070627019308
294,3_115728233_117081306,-1.895448407101647
295,3_117081306_118811404,-1.895448407101647
296,3_118811404_120804208,-2.97595461415177
297,3_120804208_122255250,-0.9249404357854332
